id;source;title;priority;tag;signup_enabled;external_url;free_trial;course_type;provider;instructors;rating;reviews;level;duration;effort;languages;modules;description;key_skills;created_at;updated_at;is_featured;price_label
491a8a71-d294-4c49-8794-7c9840c5370f;Coursera;AI For Business;9;General;true;;Free Trial;Specialization (4-course series);University of Pennsylvania (Wharton);"Michael R. Roberts; Kartik Hosanagar; Peter Cappelli; Kevin Werbach; Raghu Iyengar; Matthew Bidwell; Prasanna Tambe; Lynn Wu";4.7;342;Beginner;4 weeks;10 hours/week;"English; 22 languages available";"4 courses (e.g., AI Fundamentals for Non-Data Scientists ~9h; AI Applications in Marketing and Finance ~6h)";"Fundamentals of Big Data, AI & ML; governance frameworks and ethics; AI in people management; data-driven marketing & personalization; implement ethical AI strategies.";"Data Governance; Data Security; Credit Risk; AI Personalization; Generative AI; Fraud detection; Business Strategy; Responsible AI; AI Product Strategy; Machine Learning; ML Methods/Algorithms; Artificial Intelligence; Data Ethics; Governance; HR Tech; Big Data; Business Transformation; Analytics";2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
eae1d4c4-21a8-47e2-b6e5-4d25eede15dc;Coursera;Introduction to Artificial Intelligence (AI);7;General;true;;Free Trial;Course;IBM;Rav Ahuja;4.7;9321;Beginner;1 week;10 hours/week;"English; 30 languages available";4 modules;"Explain core AI concepts; ML, deep learning, neural networks; analyze role of generative AI in business; design a generative AI solution with ethical considerations.";"Responsible AI; Natural Language Processing; Market Opportunities; Generative AI; LLM Application";2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
8813f589-2643-4cf9-a3ed-6cfe15a43e40;Coursera;IBM AI Foundations for Business;8;General;true;;Free Trial;Specialization (3-course series);IBM;"Alex Aklson; (and IBM instructors)";4.7;435;Beginner;4 weeks;10 hours/week;"English; 25 languages available";"3 courses (Introduction to AI; What is Data Science?; The AI Ladder)";"AI concepts for business leaders; data science foundations; information architecture; business process automation; strategy; the IBM AI Ladder framework.";"Information Architecture; Business Process Automation; Data Architecture; Strategic Decision-Making; Responsible AI; Data Analysis; Business Strategy; Data Literacy; Enterprise Architecture; Data Mining; Generative AI; NLP";2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
5e40ab91-d790-493d-9343-91409c8ed6d5;Coursera;AI, Business & the Future of Work;6;General;true;;Free Trial;Course;Lund University;Anamaria Dutceac Segesten;4.6;194;Beginner;1 week;10 hours/week;English;4 modules;"How AI changes work and organizations; adoption, risks, ethics; human-AI collaboration; future of jobs and strategy implications.";"Strategy; Automation; Business Transformation; AI Governance; Ethics";2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
be974fb4-026d-4376-a2df-ffd7aec19d0a;Coursera;Introduction to AI for Finance Professionals;;Finance;true;;Free Trial;Course;AFAIP;Julia White;4.6;214;Beginner;1 week;10 hours/week;English;"4 modules; includes hands-on prompting exercises, AI in finance, final assessment; 4 assignments (AI-graded).";"AI & GenAI literacy for finance; risks & best practices; prompting techniques; finance-specific use cases; create a finance AI use-case idea.";"AI Product Strategy; Business Transformation; Risk Management; Artificial Intelligence; Prompt Engineering; Generative AI; Data Analysis; Finance; Responsible AI; ChatGPT; LLM Application";2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
803fb9f3-1795-43b8-8c9c-077a7fa83a1a;Coursera;AI for HR;;HR;true;;Free Trial;Specialization (3-course series);AFAIP;Julia White;4.5;921;Beginner;8 weeks;2 hours/week;English (recently updated Sep 2025);"3 courses: Intro to AI for HR (6h); Practical AI & Prompting for HR (9h); AI Agents & Creator Tools for HR (4h).";"AI awareness; apply AI tools in daily HR workflows; create no-code AI apps, agents and workflows; lead AI-driven HR transformation.";"Business Process Automation; Prompt Engineering; AI Personalization; Generative AI Agents; Generative AI; ChatGPT; Large Language Modeling; Responsible AI; Ideation; Productivity; Risk Management; HR Strategy; Business Analysis; Innovation; HR Tech; LLM Application; Risk Analysis";2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
f42d3ab8-c577-44f4-9e7a-65b27022fe32;Coursera;AI for Sales;;Sales;true;;Free Trial;Specialization (3-course series);AFAIP;Julia White;4.6;14;Beginner;8 weeks;2 hours/week;English;"3 courses: Intro to AI for Sales (5h); Practical AI & Prompting for Sales (8h); AI Agents & Creator Tools for Sales (4h).";"AI awareness; apply AI use cases in daily sales workflows; build custom AI solutions with modern creator tools; lead AI adoption in sales.";"Sales Strategy; Operational Efficiency; Multimodal Prompts; Sales Management; Generative AI Agents; Agentic systems; Generative AI; Application Development; Sales Process; Responsible AI; AI Product Strategy; No-Code Development; Artificial Intelligence; Productivity; Risk Management; Sales Enablement; Generative Model Architectures; Innovation";2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
4a9c068d-1ca7-4bef-9e5d-8a21c37c7863;Coursera;Prompt Engineering for ChatGPT;4;General;true;;Free Trial;Course;OpenAI;Jules White, Ph.D.;4.9;8323;Beginner;17 hours (Flexible schedule);17 hours;English (22 languages available);"4 modules: Introduction; Patterns for Effective Prompts; Applications in Business and Education; Advanced Prompting";"Learn fundamentals of prompt engineering; interact effectively with LLMs like ChatGPT; master role prompting, chain-of-thought prompting, and persona prompts; apply to real-world business, education, and coding workflows.";"Prompt Engineering; Large Language Models (LLMs); ChatGPT; Generative AI; Ideation; Workflow Automation; Applied AI; Prompt Patterns; Natural Language Processing; AI Literacy";2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
73ec4646-6c8f-4ddb-940a-a39e32a7363a;Direct;AI Essentials For Business;5;General;false;https://online.hbs.edu/courses/ai-essentials-for-business/;;Course;Harvard Business School;Variety of Harvard Professors;4.9;231;Beginner;4 weeks;5 hours/week;English;4 modules (The AI Factory, Collision & the AI First Company, Network Effects, Transformation Journey);The AI Essentials for Business course teaches leaders how to think about building AI-first organizations by understanding how AI transforms business and operating models. It covers the fundamentals of generative AI and its real-world applications, explores strategic and ethical issues such as bias, privacy, and responsible AI governance, and provides frameworks for leading digital transformation—covering strategy, architecture, culture, and assessing organizational AI maturity.;AI strategy, business transformation, generative AI, ethical governance, data literacy, digital leadership, innovation management, operational efficiency, responsible AI, organizational maturity;2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
783dcebd-9dd4-42d4-9a28-7691bbf790be;Forbes;Oxford University Artificial Intelligence Program;1;General;false;https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-artificial-intelligence-programme/;20% of Course Fee with code IFAIP2025;Course;Oxford University;Sloan Business School;4.9;127;Beginner;6 weeks;10 hours/week;English;"6 modules: Intro to AI; Machine Learning in Business; Generative AI in Business; Robotics & Automation; AI Integration; Ethics & Governance";"Understand how AI reshapes business strategy; identify AI opportunities for competitive advantage; address organizational and ethical challenges; integrate ML and robotics into business operations.";"AI Strategy; Business Transformation; Machine Learning; Robotics; Generative AI; Automation; AI Governance; Organizational Strategy; Ethics; Innovation";2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
a65acf6f-9c9a-4e5e-81f3-0cc3d17fc35b;Forbes;MIT AI Implications for Business Strategy;2;General;false;https://mit-online.getsmarter.com/presentations/lp/mit-artificial-intelligence-online-short-course/;20% of Course Fee with code IFAIP2025;Course;MIT;MIT;4.8;139;Beginner;6 weeks;10 hours/week;English;"6 modules: AI Ecosystem; Machine Learning; Deep Learning; Generative AI; AI & Society; Driving AI in Business";"Gain conceptual understanding of AI and ML; explore ethical, legal, and societal implications; build a business case for AI adoption; design and deploy AI strategies responsibly.";"AI Literacy; Business Strategy; Machine Learning; Ethics; Governance; Risk Management; Generative AI; Legal Implications; Business Case Development; Organizational Change";2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
69688978-bf18-4e2c-8348-f23f16e10337;New;AI For Restaurant Owners & Managers;;Restaurant;true;;Free Trial;Course;AFAIP;Julia White;4.7;236;Beginner;1 week;10 hours/week;English;"Forecasting Demand with AI; Optimising Staff Scheduling; Food Waste & Inventory Prediction; Customer Insights & Menu Engineering; AI-Driven Personalisation in Hospitality; Compliance, Data & Ethics in Food Service";This course explores how artificial intelligence can optimise operations, forecast demand, and personalise customer experiences across service industries. It highlights data-driven decision making, predictive analytics, and operational improvements for efficiency and sustainability.;Predictive Analytics, Workforce Optimisation, Inventory Forecasting, Personalisation, Operational Efficiency, Data Ethics;2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
badfaffc-cda8-4b6e-a582-40e686c99da4;New;Google Gemini AI Mastery;3;General;true;;Free Trial;Course;Google;Julia White;4.8;3284;Beginner;1 week;10 hours/week;English;"Introduction to AI Concepts; Using Generative AI Tools Productively; Prompt Crafting & Iteration; Responsible AI Practices; Staying Ahead of Emerging AI Trends";This course provides a beginner-friendly introduction to artificial intelligence and its practical applications. Learners explore generative AI tools, prompt design, and responsible AI usage while developing skills to automate everyday workflows effectively.;Prompt Engineering, Generative AI, Automation, Responsible AI, Workflow Optimisation, Digital Literacy;2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
99a28daa-00df-4cd9-96e6-df9fd8263caf;New;AI for Fleet Managers;;Fleet;true;;Free Trial;Course;AFAIP;Julia White;4.7;192;Beginner;1 week;10 hours/week;English;"Fleet Connectivity & Telematics; Predictive Maintenance; Route Optimisation Algorithms; Driver Behaviour Analytics; Emissions & Efficiency Modelling; Scaling AI Systems";This course examines how AI can transform logistics and transportation management. It focuses on predictive systems for maintenance, route optimisation, and driver analytics to enhance efficiency, safety, and sustainability.;Telematics Integration, Predictive Maintenance, Route Optimisation, Driver Analytics, Emissions Modelling, Real-time Data;2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
556aba30-6635-416a-a902-3dcfabf9c472;New;AI for Advertising;;Marketing;true;;Free Trial;Course;AFIAP;Julia White;4.8;329;Beginner;1 week;10 hours/week;English;"AI-Generated Creative Examples; Predictive Audience Targeting; Dynamic Ad Personalisation; Campaign Optimisation Algorithms; ROI Tracking & Attribution";This course presents practical examples of AI applications in marketing and advertising. Participants learn how machine learning improves creative testing, audience targeting, and campaign optimisation through automation and predictive modelling.;Ad Automation, Predictive Bidding, Creative Generation, Personalisation, ROI Optimisation, Attribution Modelling, Campaign Analytics;2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
66c9b95a-9e9b-4201-aa28-7bda8bfd3404;New;Go To Market Strategies for AI;;Marketing;true;;Free Trial;Course;AFIAP;Julia White;4.8;239;Beginner;1 week;10 hours/week;English;"Understanding AI in Sales & Marketing; Lead Scoring & Forecasting Models; AI Enablement for Sales Teams; Predictive Market Intelligence; Ethical AI and Customer Trust";This course outlines how artificial intelligence supports go-to-market strategies through automation and analytics. It demonstrates the use of AI in lead scoring, market forecasting, and customer engagement while maintaining ethical data practices.;Sales Forecasting, Lead Scoring, Predictive Intelligence, AI Enablement, Marketing Automation, Customer Ethics;2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
458c72f4-d369-4dbf-8b95-aa40fe586b94;New;AI for Product Managers;;Product Management;true;;Free Trial;Course;AFIAP;Julia White;4.8;324;Beginner;1 week;10 hours/week;English;"AI Product Foundations; Data & Market Research for AI; Defining AI Requirements & Metrics; AI UX Design & Evaluation; Launch & Governance Frameworks";This course trains professionals to lead AI-focused products from ideation to launch. It covers defining AI requirements, integrating data insights, managing product lifecycles, and applying ethical governance frameworks for sustainable success.;AI Product Strategy, Market Analysis, UX for AI, Model Evaluation, Governance, Agile PM, Data-Driven Design;2025-12-17 11:18:16.135165+00;2025-12-17 11:18:16.135165+00;false;
